pg_language,1,lanname,name
pg_language,2,lanowner,oid
pg_language,3,lanispl,boolean
pg_language,4,lanpltrusted,boolean
pg_language,5,lanplcallfoid,oid
pg_language,6,laninline,oid
pg_language,7,lanvalidator,oid
pg_language,8,lanacl,ARRAY
pg_largeobject_metadata,1,lomowner,oid
pg_largeobject_metadata,2,lomacl,ARRAY
pg_largeobject,1,loid,oid
pg_largeobject,2,pageno,integer
pg_largeobject,3,data,bytea
pg_aggregate,1,aggfnoid,regproc
pg_aggregate,2,aggkind,"""char"""
pg_aggregate,3,aggnumdirectargs,smallint
pg_aggregate,4,aggtransfn,regproc
pg_aggregate,5,aggfinalfn,regproc
pg_aggregate,6,aggmtransfn,regproc
pg_aggregate,7,aggminvtransfn,regproc
pg_aggregate,8,aggmfinalfn,regproc
pg_aggregate,9,aggfinalextra,boolean
pg_aggregate,10,aggmfinalextra,boolean
pg_aggregate,11,aggsortop,oid
pg_aggregate,12,aggtranstype,oid
pg_aggregate,13,aggtransspace,integer
pg_aggregate,14,aggmtranstype,oid
pg_aggregate,15,aggmtransspace,integer
pg_aggregate,16,agginitval,text
pg_aggregate,17,aggminitval,text
pg_statistic,1,starelid,oid
pg_statistic,2,staattnum,smallint
pg_statistic,3,stainherit,boolean
pg_statistic,4,stanullfrac,real
pg_statistic,5,stawidth,integer
pg_statistic,6,stadistinct,real
pg_statistic,7,stakind1,smallint
pg_statistic,8,stakind2,smallint
pg_statistic,9,stakind3,smallint
pg_statistic,10,stakind4,smallint
pg_statistic,11,stakind5,smallint
pg_statistic,12,staop1,oid
pg_statistic,13,staop2,oid
pg_statistic,14,staop3,oid
pg_statistic,15,staop4,oid
pg_statistic,16,staop5,oid
pg_statistic,17,stanumbers1,ARRAY
pg_statistic,18,stanumbers2,ARRAY
pg_statistic,19,stanumbers3,ARRAY
pg_statistic,20,stanumbers4,ARRAY
pg_statistic,21,stanumbers5,ARRAY
pg_statistic,22,stavalues1,anyarray
pg_statistic,23,stavalues2,anyarray
pg_statistic,24,stavalues3,anyarray
pg_statistic,25,stavalues4,anyarray
pg_statistic,26,stavalues5,anyarray
pg_rewrite,1,rulename,name
pg_rewrite,2,ev_class,oid
pg_rewrite,3,ev_type,"""char"""
pg_rewrite,4,ev_enabled,"""char"""
pg_rewrite,5,is_instead,boolean
pg_rewrite,6,ev_qual,pg_node_tree
pg_rewrite,7,ev_action,pg_node_tree
pg_trigger,1,tgrelid,oid
pg_trigger,2,tgname,name
pg_trigger,3,tgfoid,oid
pg_trigger,4,tgtype,smallint
pg_trigger,5,tgenabled,"""char"""
pg_trigger,6,tgisinternal,boolean
pg_trigger,7,tgconstrrelid,oid
pg_trigger,8,tgconstrindid,oid
pg_trigger,9,tgconstraint,oid
pg_trigger,10,tgdeferrable,boolean
pg_trigger,11,tginitdeferred,boolean
pg_trigger,12,tgnargs,smallint
pg_trigger,13,tgattr,ARRAY
pg_trigger,14,tgargs,bytea
pg_trigger,15,tgqual,pg_node_tree
pg_event_trigger,1,evtname,name
pg_event_trigger,2,evtevent,name
pg_event_trigger,3,evtowner,oid
pg_event_trigger,4,evtfoid,oid
pg_event_trigger,5,evtenabled,"""char"""
pg_event_trigger,6,evttags,ARRAY
pg_description,1,objoid,oid
pg_description,2,classoid,oid
pg_description,3,objsubid,integer
pg_description,4,description,text
pg_cast,1,castsource,oid
pg_cast,2,casttarget,oid
pg_cast,3,castfunc,oid
pg_cast,4,castcontext,"""char"""
pg_cast,5,castmethod,"""char"""
pg_enum,1,enumtypid,oid
pg_enum,2,enumsortorder,real
pg_enum,3,enumlabel,name
pg_namespace,1,nspname,name
pg_namespace,2,nspowner,oid
pg_namespace,3,nspacl,ARRAY
pg_conversion,1,conname,name
pg_conversion,2,connamespace,oid
pg_conversion,3,conowner,oid
pg_conversion,4,conforencoding,integer
pg_conversion,5,contoencoding,integer
pg_conversion,6,conproc,regproc
pg_conversion,7,condefault,boolean
pg_depend,1,classid,oid
pg_depend,2,objid,oid
pg_depend,3,objsubid,integer
pg_depend,4,refclassid,oid
pg_depend,5,refobjid,oid
pg_depend,6,refobjsubid,integer
pg_depend,7,deptype,"""char"""
pg_database,1,datname,name
pg_database,2,datdba,oid
pg_database,3,encoding,integer
pg_database,4,datcollate,name
pg_database,5,datctype,name
pg_database,6,datistemplate,boolean
pg_database,7,datallowconn,boolean
pg_database,8,datconnlimit,integer
pg_database,9,datlastsysoid,oid
pg_database,10,datfrozenxid,xid
pg_database,11,datminmxid,xid
pg_database,12,dattablespace,oid
pg_database,13,datacl,ARRAY
pg_db_role_setting,1,setdatabase,oid
pg_db_role_setting,2,setrole,oid
pg_db_role_setting,3,setconfig,ARRAY
pg_tablespace,1,spcname,name
pg_tablespace,2,spcowner,oid
pg_tablespace,3,spcacl,ARRAY
pg_tablespace,4,spcoptions,ARRAY
pg_pltemplate,1,tmplname,name
pg_pltemplate,2,tmpltrusted,boolean
pg_pltemplate,3,tmpldbacreate,boolean
pg_pltemplate,4,tmplhandler,text
pg_pltemplate,5,tmplinline,text
pg_pltemplate,6,tmplvalidator,text
pg_pltemplate,7,tmpllibrary,text
pg_pltemplate,8,tmplacl,ARRAY
pg_authid,1,rolname,name
pg_authid,2,rolsuper,boolean
pg_authid,3,rolinherit,boolean
pg_authid,4,rolcreaterole,boolean
pg_authid,5,rolcreatedb,boolean
pg_authid,6,rolcanlogin,boolean
pg_authid,7,rolreplication,boolean
pg_authid,8,rolbypassrls,boolean
pg_authid,9,rolconnlimit,integer
pg_authid,10,rolpassword,text
pg_authid,11,rolvaliduntil,timestamp with time zone
pg_auth_members,1,roleid,oid
pg_auth_members,2,member,oid
pg_auth_members,3,grantor,oid
pg_auth_members,4,admin_option,boolean
pg_shdepend,1,dbid,oid
pg_shdepend,2,classid,oid
pg_shdepend,3,objid,oid
pg_shdepend,4,objsubid,integer
pg_shdepend,5,refclassid,oid
pg_shdepend,6,refobjid,oid
pg_shdepend,7,deptype,"""char"""
pg_shdescription,1,objoid,oid
pg_shdescription,2,classoid,oid
pg_shdescription,3,description,text
pg_ts_config,1,cfgname,name
